FEWSNET_admin_code,target_month,target_label,partition_id
0,2014-04,1,15
0,2014-07,1,15
0,2014-10,0,15
0,2015-01,0,15
0,2015-04,0,15
0,2015-07,1,15
0,2015-10,0,15
0,2016-02,0,15
0,2016-06,1,15
0,2016-10,0,15
1,2014-04,1,15
1,2014-07,1,15
1,2014-10,1,15
1,2015-01,1,15
1,2015-04,0,15
1,2015-07,0,15
1,2015-10,0,15
1,2016-02,0,15
1,2016-06,0,15
1,2016-10,0,15
2,2014-04,1,7
2,2014-07,1,7
2,2014-10,0,7
2,2015-01,0,7
2,2015-04,0,7
2,2015-07,0,7
2,2015-10,0,7
2,2016-02,0,7
2,2016-06,0,7
2,2016-10,0,7
3,2014-04,0,15
3,2014-07,0,15
3,2014-10,0,15
3,2015-01,0,15
3,2015-04,0,15
3,2015-07,0,15
3,2015-10,0,15
3,2016-02,0,15
3,2016-06,1,15
3,2016-10,1,15
4,2014-04,0,15
4,2014-07,0,15
4,2014-10,0,15
4,2015-01,0,15
4,2015-04,0,15
4,2015-07,0,15
4,2015-10,0,15
4,2016-02,0,15
4,2016-06,1,15
4,2016-10,1,15
5,2014-04,0,15
5,2014-07,0,15
5,2014-10,0,15
5,2015-01,0,15
5,2015-04,0,15
5,2015-07,0,15
5,2015-10,0,15
5,2016-02,0,15
5,2016-06,1,15
5,2016-10,1,15
6,2014-04,0,15
6,2014-07,0,15
6,2014-10,0,15
6,2015-01,0,15
6,2015-04,0,15
6,2015-07,1,15
6,2015-10,0,15
6,2016-02,0,15
6,2016-06,1,15
6,2016-10,1,15
7,2014-04,0,15
7,2014-07,0,15
7,2014-10,0,15
7,2015-01,0,15
7,2015-04,0,15
7,2015-07,1,15
7,2015-10,0,15
7,2016-02,0,15
7,2016-06,1,15
7,2016-10,1,15
8,2014-04,0,7
8,2014-07,1,7
8,2014-10,0,7
8,2015-01,0,7
8,2015-04,0,7
8,2015-07,0,7
8,2015-10,0,7
8,2016-02,0,7
8,2016-06,0,7
8,2016-10,0,7
9,2014-04,1,7
9,2014-07,1,7
9,2014-10,1,7
9,2015-01,1,7
9,2015-04,1,7
9,2015-07,1,7
9,2015-10,1,7
9,2016-02,1,7
9,2016-06,1,7
9,2016-10,1,7
10,2014-04,1,7
10,2014-07,1,7
10,2014-10,1,7
10,2015-01,1,7
10,2015-04,1,7
10,2015-07,1,7
10,2015-10,1,7
10,2016-02,1,7
10,2016-06,1,7
10,2016-10,1,7
11,2014-04,0,7
11,2014-07,1,7
