period,horizon_months,cohort,dimension,target_year_label,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,1,E_all,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,107,78,29,19,11,0.7647058823529411,0.7289719626168224,0.8041237113402062,,,
partial_2026,1,E_all,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,103,72,31,25,9,0.72,0.6990291262135923,0.7422680412371134,,,
partial_2026,1,E_all,target_year,2026,xgb,137,105,3,97,0.708029197080292,89,60,29,37,11,0.6451612903225806,0.6741573033707865,0.6185567010309279,,,
partial_2026,1,E_persist,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,107,78,29,19,11,0.7647058823529411,0.7289719626168224,0.8041237113402062,,,
partial_2026,1,E_persist,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,103,72,31,25,9,0.72,0.6990291262135923,0.7422680412371134,,,
partial_2026,1,E_persist,target_year,2026,xgb,137,105,3,97,0.708029197080292,89,60,29,37,11,0.6451612903225806,0.6741573033707865,0.6185567010309279,,,
partial_2026,1,E_persist,target_year,2026,persistence,137,105,3,97,0.708029197080292,65,45,20,52,20,0.5555555555555556,0.6923076923076923,0.4639175257731959,,,
partial_2026,3,E_all,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,76,55,21,42,19,0.6358381502890174,0.7236842105263158,0.5670103092783505,,,
partial_2026,3,E_all,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,94,66,28,31,12,0.6910994764397905,0.7021276595744681,0.6804123711340206,,,
partial_2026,3,E_all,target_year,2026,xgb,137,105,3,97,0.708029197080292,81,54,27,43,13,0.6067415730337079,0.6666666666666666,0.5567010309278351,,,
partial_2026,3,E_persist,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,76,55,21,42,19,0.6358381502890174,0.7236842105263158,0.5670103092783505,,,
partial_2026,3,E_persist,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,94,66,28,31,12,0.6910994764397905,0.7021276595744681,0.6804123711340206,,,
partial_2026,3,E_persist,target_year,2026,xgb,137,105,3,97,0.708029197080292,81,54,27,43,13,0.6067415730337079,0.6666666666666666,0.5567010309278351,,,
partial_2026,3,E_persist,target_year,2026,persistence,137,105,3,97,0.708029197080292,64,44,20,53,20,0.546583850931677,0.6875,0.4536082474226804,,,
partial_2026,6,E_all,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,114,81,33,16,7,0.7677725118483413,0.7105263157894737,0.8350515463917526,,,
partial_2026,6,E_all,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,114,83,31,14,9,0.7867298578199052,0.7280701754385965,0.8556701030927835,,,
partial_2026,6,E_all,target_year,2026,xgb,137,105,3,97,0.708029197080292,50,30,20,67,20,0.40816326530612246,0.6,0.30927835051546393,,,
partial_2026,6,E_persist,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,114,81,33,16,7,0.7677725118483413,0.7105263157894737,0.8350515463917526,,,
partial_2026,6,E_persist,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,114,83,31,14,9,0.7867298578199052,0.7280701754385965,0.8556701030927835,,,
partial_2026,6,E_persist,target_year,2026,xgb,137,105,3,97,0.708029197080292,50,30,20,67,20,0.40816326530612246,0.6,0.30927835051546393,,,
partial_2026,6,E_persist,target_year,2026,persistence,137,105,3,97,0.708029197080292,88,61,27,36,13,0.6594594594594595,0.6931818181818182,0.6288659793814433,,,
partial_2026,12,E_all,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,92,77,15,20,25,0.8148148148148148,0.8369565217391305,0.7938144329896907,,,
partial_2026,12,E_all,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,93,78,15,19,25,0.8210526315789474,0.8387096774193549,0.8041237113402062,,,
partial_2026,12,E_all,target_year,2026,xgb,137,105,3,97,0.708029197080292,78,63,15,34,25,0.72,0.8076923076923077,0.6494845360824743,,,
partial_2026,12,E_persist,target_year,2026,partitioned_rf,137,105,3,97,0.708029197080292,92,77,15,20,25,0.8148148148148148,0.8369565217391305,0.7938144329896907,,,
partial_2026,12,E_persist,target_year,2026,pooled_rf,137,105,3,97,0.708029197080292,93,78,15,19,25,0.8210526315789474,0.8387096774193549,0.8041237113402062,,,
partial_2026,12,E_persist,target_year,2026,xgb,137,105,3,97,0.708029197080292,78,63,15,34,25,0.72,0.8076923076923077,0.6494845360824743,,,
partial_2026,12,E_persist,target_year,2026,persistence,137,105,3,97,0.708029197080292,99,84,15,13,25,0.8571428571428571,0.8484848484848485,0.865979381443299,,,
